Region,year,inflow (kt),outflow (kt),all sand supply (kt),recycled sand supply (kt),sand stock (kt),sand substitution,all gravel supply (kt),recycled gravel supply (kt),gravel stock (kt),gravel substitution
Canada,1970,27619.65811614954,8605.267345779663,10307.165996486521,1660.816597735475,0.0,0.16113222570603886,12734.366030233907,5283.634150308712,0.0,0.41491144025264537
Canada,1971,29298.039140306886,8890.407545097281,10933.5079935016,1715.8486562037754,0.0,0.15693487005484433,13508.203208447252,5458.710232689731,0.0,0.4041033547138355
Canada,1972,58653.85898993823,9182.79402894643,21888.578721773392,1772.2792475866609,0.0,0.08096821955021265,27043.046887928933,5638.235533773108,0.0,0.20849113478739772
Canada,1973,54376.74312746028,9510.139908731426,20292.435026026887,1835.4570023851652,0.0,0.09045030820751798,25071.032653811148,5839.225903961095,0.0,0.23290727528422933
Canada,1974,45103.47115449334,9852.242226055918,16831.814581197814,1901.4827496287921,0.0,0.11296956370662893,20795.48227932544,6049.276726798334,0.0,0.290893793447264
Canada,1975,45407.86684819088,10203.549563888373,16945.409649259927,1969.285065830456,0.0,0.11621348238792577,20935.827469887554,6264.979432227461,0.0,0.299246802699273
Canada,1976,59337.75752188779,10587.0701850752,22143.797510648837,2043.3045457195135,0.0,0.09227435107898267,27358.366295459655,6500.461093636172,0.0,0.23760413993415158
Canada,1977,38446.5124971895,11012.59171593223,14347.555810722337,2125.4302011749205,0.0,0.14813883487991217,17726.213723076577,6761.73131358239,0.0,0.3814537847289826
Canada,1978,41407.0713400018,11446.04586556269,15452.383803411716,2209.086852053599,0.0,0.14296091011963197,19091.21396311841,7027.872161455492,0.0,0.36812075832539354
Canada,1979,31920.583221010434,11885.658124057823,11912.19487873532,2293.93201794316,0.0,0.19257005457811144,14717.357793694453,7297.794088171503,0.0,0.49586306118739537
Canada,1980,31073.005436498155,12314.193686892995,11595.893899079303,2376.639381570348,0.0,0.20495525418347005,14326.572154651256,7560.914923752299,0.0,0.5277546395700508
Canada,1981,33175.529990868774,12744.058762923976,12380.518730511068,2459.6033412443276,0.0,0.19866722831110284,15295.965662359255,7824.852080435321,0.0,0.5115631306424111
Canada,1982,4909.2434558888035,23104.702679349473,1832.0424895999856,1832.0424895999856,2627.1651275144623,1.0,2263.4640456416287,2263.4640456416287,11922.823399478948,1.0
Canada,1983,30200.35728579021,4950.402592617251,11270.2371039065,3582.5928278895917,0.0,0.3178808746310927,13924.227530398866,13924.227530398866,1038.1430609470735,1.0
Canada,1984,57979.85058654653,14044.781879205832,21637.0507532674,2710.6429026867254,0.0,0.1252778363186763,26732.28743970735,9661.639134779454,0.0,0.36142208767470985
Canada,1985,68196.93522421812,14490.040351460646,25449.885326301377,2796.577787831905,0.0,0.10988567343137537,31442.99366897505,8896.884775796836,0.0,0.2829528533275581
Canada,1986,63750.191281906395,14976.083248351993,23790.43944306365,2890.3840669319347,0.0,0.12149351313368263,29392.77042703663,9195.315114488123,0.0,0.31284274945480844
Canada,1987,62689.22246563415,15506.56163236716,23394.50471930906,2992.766395046862,0.0,0.12792604207503183,28903.59835994378,9521.028842273436,0.0,0.3294063501611692
Canada,1988,67961.65906390306,16049.492968848797,25362.084440816652,3097.552142987818,0.0,0.12213318468425058,31334.51684674067,9854.388682873161,0.0,0.3144898876555739
Canada,1989,59421.72406147505,16616.22363516014,22175.13233231958,3206.931161585907,0.0,0.14461835508020407,27397.080049442404,10202.361311988325,0.0,0.3723886375327785
Canada,1990,36690.168075906935,17196.29313289673,13692.119258212027,3318.8845746490692,0.0,0.24239378229623035,16916.43060984195,10558.523983598592,0.0,0.6241579105615614
Canada,1991,11594.215178176648,20314.031305205634,4326.755238529732,3920.6080419046875,0.0,0.9061312290077548,5345.648352752973,5345.648352752973,7127.166868643286,1.0
Canada,1992,36800.156679921194,15760.238580127152,13733.165052281214,3041.7260459645404,0.0,0.22148762025249813,16967.142140621294,16803.953356841357,0.0,0.990382070095986
Canada,1993,42113.429427296884,18832.03035990846,15715.984099552028,3634.5818594623324,0.0,0.23126657779998222,19416.8886110161,11562.866640983793,0.0,0.5955056380363455
Canada,1994,59558.02033214895,19353.623075840937,22225.995680469303,3735.2492536373006,0.0,0.16805767927506546,27459.921037264136,11883.124568566334,0.0,0.4327443095135085
