Region,year,inflow (kt),outflow (kt),all sand supply (kt),recycled sand supply (kt),sand stock (kt),sand substitution,all gravel supply (kt),recycled gravel supply (kt),gravel stock (kt),gravel substitution
Brazil,2030,207254.4408851186,53728.507444556235,72370.2457698022,1196.4925311691563,0.0,0.01653293447385824,95256.73271587116,3806.4581043412536,0.0,0.039959990184578756
Brazil,2031,184981.4215012094,55223.670969834944,64592.830338001855,1434.753451543212,0.0,0.022212270990997346,85019.77448632715,4564.448804391358,0.0,0.05368690792193775
Brazil,2032,187847.10585001734,56718.74228028207,65593.4857629771,1684.110347706837,0.0,0.02567496342231897,86336.87884798358,5357.739655398953,0.0,0.06205621197903756
Brazil,2033,191983.19897830067,58217.78149726092,67037.74951405675,1944.6978165527348,0.0,0.029008996135005436,88237.87897095429,6186.758856805073,0.0,0.07011454637119734
Brazil,2034,194938.68987186585,59728.070433668574,68069.7640823539,2216.8303064803918,0.0,0.03256703378314004,89596.25954359824,7052.506778129328,0.0,0.0787142991689014
Brazil,2035,204248.18039942568,61251.56063589346,71320.50319604363,2500.712754423112,0.0,0.03506302735342779,93875.01780381931,7955.635394900471,0.0,0.08474709865329895
Brazil,2036,194580.11411020337,62789.38177630822,67944.55462538023,2796.5424652678817,0.0,0.04115918458347289,89431.45363960313,8896.772402458442,0.0,0.09948146921899818
Brazil,2037,198219.91168790864,64331.838018343944,69215.5191659995,3104.0111843850955,0.0,0.04484559563789082,91104.35012142824,9874.937135815795,0.0,0.10839149966663508
Brazil,2038,201859.3228388928,65882.62740715069,70486.34877201059,3423.36267796387,0.0,0.04856774024480684,92777.06899670014,10890.905099843605,0.0,0.11738789786763978
Brazil,2039,205498.2354926056,67445.77269332805,71757.00431000224,3754.913691292014,0.0,0.05232818353272051,94449.55875639246,11945.683971260603,0.0,0.12647686372015057
Brazil,2040,209171.69250154233,69023.19826123543,73039.72223597862,4098.91608135952,0.0,0.05611899875682216,96137.9255337176,13040.074994584173,0.0,0.13563923833587135
Brazil,2041,197932.01307201153,70616.28670535894,69114.98914357742,4455.6160900054365,0.0,0.06446671185536139,90972.0283174338,14174.861550587244,0.0,0.1558156041231279
Brazil,2042,201532.26462419145,72212.09707649818,70372.14478546205,4824.323562379897,0.0,0.06855444831314192,92626.74895141047,15347.84801710496,0.0,0.16569563534132062
Brazil,2043,205094.40528597872,73813.94076570211,71615.99265699233,5205.302322842877,0.0,0.07268351843943407,94263.95334359181,16559.873711013093,0.0,0.17567556975520013
Brazil,2044,208505.74905770982,75426.01650049025,72807.18444092282,5598.931224844085,0.0,0.07690080680687725,95831.84959941132,17812.143896654237,0.0,0.18586872705797858
Brazil,2045,211759.18801331086,77050.16255988469,73943.23815252657,6005.467477984858,0.0,0.08121726378275547,97327.17082716187,19105.476847060636,0.0,0.1963015742129095
Brazil,2046,198317.81082507764,78687.61414686128,69249.7041252569,6425.14633976102,0.0,0.09278229302091164,91149.34578908485,20440.620997996197,0.0,0.22425417122899377
Brazil,2047,201081.59263887093,80323.72844802123,70214.77666249243,6856.865972707043,0.0,0.09765559756269747,92419.61447137293,21814.07102197992,0.0,0.23603291516366204
Brazil,2048,203854.9118514021,81961.85803514638,71183.17952108424,7300.910123438423,0.0,0.10256510277510035,93694.26666138467,23226.729615498403,0.0,0.24789915587301473
Brazil,2049,206608.11480822595,83606.40052774189,72144.55807484913,7757.70927973759,0.0,0.10753006861153765,94959.6731687226,24679.9663096315,0.0,0.2598994445334768
Brazil,2050,209225.415447255,85259.13631764127,73058.48150969116,8227.506654652383,0.0,0.11261535258655779,96162.61727136436,26174.55484951587,0.0,0.2721905413166226
Canada,1970,27619.65811614954,8605.267345779663,9644.384156051041,0.0,0.0,0.0,12694.340249780906,0.0,0.0,0.0
Canada,1971,29298.039140306886,8890.407545097281,10230.450474798668,0.0,0.0,0.0,13465.745156381514,0.0,0.0,0.0
Canada,1972,58653.85898993823,9182.79402894643,20481.0771355295,0.0,0.0,0.0,26958.047049307475,0.0,0.0,0.0
Canada,1973,54376.74312746028,9510.139908731426,18987.570290361222,0.0,0.0,0.0,24992.231114233204,0.0,0.0,0.0
Canada,1974,45103.47115449334,9852.242226055918,15749.478170801609,0.0,0.0,0.0,20730.11935461051,0.0,0.0,0.0
Canada,1975,45407.86684819088,10203.549563888373,15855.768733600074,0.0,0.0,0.0,20870.023421855472,0.0,0.0,0.0
Canada,1976,59337.75752188779,10587.0701850752,20719.884587024502,0.0,0.0,0.0,27272.375366637993,0.0,0.0,0.0
Canada,1977,38446.5124971895,11012.59171593223,13424.964727079865,0.0,0.0,0.0,17670.497911464256,0.0,0.0,0.0
Canada,1978,41407.0713400018,11446.04586556269,14458.748949773795,0.0,0.0,0.0,19031.207776956115,0.0,0.0,0.0
Canada,1979,31920.583221010434,11885.658124057823,11146.204843448646,0.0,0.0,0.0,14671.099210385311,0.0,0.0,0.0
Canada,1980,31073.005436498155,12314.193686892995,10850.242970148287,0.0,0.0,0.0,14281.541861792963,0.0,0.0,0.0
Canada,1981,33175.529990868774,12744.058762923976,11584.41405997882,0.0,0.0,0.0,15247.888438729537,0.0,0.0,0.0
Canada,1982,4909.2434558888035,23104.702679349473,1714.2366355536853,0.0,0.0,0.0,2256.349681664732,0.0,0.0,0.0
Canada,1983,30200.35728579021,4950.402592617251,10545.526888468265,0.0,0.0,0.0,13880.461859395993,0.0,0.0,0.0
Canada,1984,57979.85058654653,14044.781879205832,20245.72317352968,0.0,0.0,0.0,26648.2643587367,0.0,0.0,0.0
Canada,1985,68196.93522421812,14490.040351460646,23813.380991240916,0.0,0.0,0.0,31344.164221290608,0.0,0.0,0.0
Canada,1986,63750.191281906395,14976.083248351993,22260.642480036422,0.0,0.0,0.0,29300.385099551553,0.0,0.0,0.0
Canada,1987,62689.22246563415,15506.56163236716,21890.167552407347,0.0,0.0,0.0,28812.750564340124,0.0,0.0,0.0
Canada,1988,67961.65906390306,16049.492968848797,23731.225967333783,0.0,0.0,0.0,31236.028355917424,0.0,0.0,0.0
Canada,1989,59421.72406147505,16616.22363516014,20749.20448521543,0.0,0.0,0.0,27310.967438221025,0.0,0.0,0.0
Canada,1990,36690.168075906935,17196.29313289673,12811.67472044934,0.0,0.0,0.0,16863.260052624544,0.0,0.0,0.0
Canada,1991,11594.215178176648,20314.031305205634,4048.5318354057185,0.0,0.0,0.0,5328.846279776725,0.0,0.0,0.0
Canada,1992,36800.156679921194,15760.238580127152,12850.081146243621,0.0,0.0,0.0,16913.81219042016,0.0,0.0,0.0
Canada,1993,42113.429427296884,18832.03035990846,14705.398952353804,0.0,0.0,0.0,19355.858786776735,0.0,0.0,0.0
Canada,1994,59558.02033214895,19353.623075840937,20796.797166771747,0.0,0.0,0.0,27373.61090858676,0.0,0.0,0.0
Canada,1995,45447.40604550546,19896.384632062804,15869.57524802252,0.0,0.0,0.0,20888.196131372864,0.0,0.0,0.0
Canada,1996,50401.416458422944,20434.2058495376,17599.4438558934,0.0,0.0,0.0,23165.121266291928,0.0,0.0,0.0
Canada,1997,83945.30090018352,20964.033143920915,29312.481949343317,0.0,0.0,0.0,38582.31001686738,0.0,0.0,0.0
Canada,1998,69301.28993293112,21548.08122547412,24199.005643457167,0.0,0.0,0.0,31851.739455201758,0.0,0.0,0.0
Canada,1999,75203.44198025702,22180.311585725758,26259.951562934384,0.0,0.0,0.0,34564.442341660986,0.0,0.0,0.0
Canada,2000,73644.15750241917,22826.108094942483,25715.472031377743,0.0,0.0,0.0,33847.77569703291,0.0,0.0,0.0
Canada,2001,63727.59945949621,23471.411414562055,22252.753743210178,0.0,0.0,0.0,29290.00161546455,0.0,0.0,0.0
Canada,2002,79808.8010614285,24140.145300016142,27868.07618086387,0.0,0.0,0.0,36681.12296467803,0.0,0.0,0.0
Canada,2003,65217.78173741079,24836.123164277127,22773.103788468125,0.0,0.0,0.0,29974.90802489546,0.0,0.0,0.0
Canada,2004,71650.62387898863,25520.364318303837,25019.35899436927,0.0,0.0,0.0,32931.5227148713,0.0,0.0,0.0
Canada,2005,80985.22982768611,26205.6394165973,28278.86804897115,0.0,0.0,0.0,37221.82433671174,0.0,0.0,0.0
Canada,2006,85495.29840541592,26914.011000780458,29853.71860471818,0.0,0.0,0.0,39294.70825275382,0.0,0.0,0.0
Canada,2007,42976.25712569068,27642.66423502761,15006.685874472709,0.0,0.0,0.0,19752.425186486867,0.0,0.0,0.0
Canada,2008,59364.19026701631,28368.347364620313,20729.114518374354,0.0,0.0,0.0,27284.524186836494,0.0,0.0,0.0
Canada,2009,73563.5316626145,29081.518621255316,25687.318657114007,0.0,0.0,0.0,33810.71905284489,0.0,0.0,0.0
Canada,2010,30144.915973067662,29771.344231830077,10526.167585910518,0.0,0.0,0.0,13854.980338783576,0.0,0.0,0.0
Canada,2011,61823.621848637245,30473.84251497591,21587.912367316854,0.0,0.0,0.0,28414.90969656508,0.0,0.0,0.0
Canada,2012,70105.92640926773,31179.428373250055,24479.97303454968,0.0,0.0,0.0,32221.56044158208,0.0,0.0,0.0
Canada,2013,52160.90570027235,31885.954751654273,18213.831988269038,0.0,0.0,0.0,23973.804523989656,0.0,0.0,0.0
Canada,2014,66665.81499663703,32585.672567981666,23278.73600751977,0.0,0.0,0.0,30640.442218270175,0.0,0.0,0.0
Canada,2015,84208.55341513269,33289.00301988212,29404.405910658817,0.0,0.0,0.0,38703.30416467044,0.0,0.0,0.0
Canada,2016,86040.1080233221,34009.166202231136,30043.95822408285,0.0,0.0,0.0,39545.109565904415,0.0,0.0,0.0
Canada,2017,85865.53801401817,34750.8697523266,29983.000907928814,0.0,0.0,0.0,39464.87500665707,0.0,0.0,0.0
Canada,2018,85808.85213414785,35509.06744337673,29963.207020568076,0.0,0.0,0.0,39438.82146742042,0.0,0.0,0.0
Canada,2019,85763.86637361912,36280.46259453598,29947.498645241103,0.0,0.0,0.0,39418.14544934136,0.0,0.0,0.0
Canada,2020,85693.92268268434,37063.22848563026,29923.07532248199,0.0,0.0,0.0,39385.998454352586,0.0,0.0,0.0
Canada,2021,83175.04816760434,37856.140074625655,29043.52086304015,0.0,0.0,0.0,38228.29222908143,0.0,0.0,0.0
Canada,2022,84113.163541416,38652.14349542353,29371.0971498171,0.0,0.0,0.0,38659.461785874475,0.0,0.0,0.0
Canada,2023,84778.9214067241,39452.00908780913,29603.57014354288,0.0,0.0,0.0,38965.45242597031,0.0,0.0,0.0
Canada,2024,85394.00637561319,40256.99975920633,29818.34889654672,0.0,0.0,0.0,39248.153169215155,0.0,0.0,0.0
Canada,2025,85968.61823275956,41067.23215687901,30018.995025750657,152.42261165918555,0.0,0.005077538789304425,39512.251964192976,484.90924123699443,0.0,0.012272376721945175
Canada,2026,84305.3046035759,41882.56928872486,29438.19002286531,310.8975335663038,0.0,0.010561027472301206,38747.772220737745,989.0729824337333,0.0,0.025525931576122537
Canada,2027,84747.59679429061,42700.246054772506,29592.632043057438,475.45081664833236,0.0,0.016066526828588577,38951.0552423864,1512.5741006325184,0.0,0.03883268607795099
Canada,2028,85171.43321912024,43519.96409124081,29740.6295773931,646.1040822776521,0.0,0.021724626931528664,39145.85576324773,2055.4813809247585,0.0,0.05250827554661755
Canada,2029,85215.06557739765,44340.27228944091,29755.865364276928,822.85312998674,0.0,0.027653476715034715,39165.90974072799,2617.781460165069,0.0,0.06683826515187213
Canada,2030,85074.45278624776,45161.4822369862,29706.765416355734,1005.711469815962,0.0,0.033854627244682946,39101.282343574065,3199.5173184818686,0.0,0.08182640380866384
Canada,2031,88025.10440630288,45983.45136349004,30737.090180507927,1194.6854383091356,0.0,0.03886787692957192,40457.43872559842,3800.7091146207736,0.0,0.09394339420246026
Canada,2032,88487.09326467947,46806.65899550919,30898.40999146511,1389.7977209435808,0.0,0.044979587018473655,40669.774582008286,4421.429018960407,0.0,0.10871535592224263
Canada,2033,89004.73390750501,47631.630620518285,31079.162598655264,1591.0796613046202,0.0,0.05119441864799353,40907.688694467935,5061.7767463266155,0.0,0.12373656170438038
Canada,2034,89547.97520284941,48458.00882887136,31268.854582520507,1798.5376353792642,0.0,0.05751850073794063,41157.3691869575,5721.772580947503,0.0,0.1390218251063699
Canada,2035,90249.57632560632,49285.46757256322,31513.843522055133,2012.1739933952256,0.0,0.06385047866303566,41479.83383639126,6401.423999713308,0.0,0.15432617268821322
Canada,2036,89821.74706055831,50113.4371941198,31364.451745807495,2231.9753950304125,0.0,0.07116258282208814,41283.198156235696,7100.68856242836,0.0,0.17199947871179702
Canada,2037,90337.1908032462,50940.92888380731,31544.43722732249,2457.899818643703,0.0,0.07791864539953725,41520.102545920185,7819.432583664422,0.0,0.18832883601422534
Canada,2038,90989.81341351819,51767.64660430082,31772.32358043805,2689.9265600927083,0.0,0.08466256971362565,41820.056058547074,8557.590196357114,0.0,0.2046288552166619
Canada,2039,91717.44550220671,52593.52535248661,32026.402155852375,2928.043382604784,0.0,0.09142592316039237,42154.48486543625,9315.122471084649,0.0,0.2209758345006465
Canada,2040,92512.86501920264,53418.46001740328,32304.151118380036,3172.234702571949,0.0,0.09819898040184218,42520.069622046925,10091.97983098019,0.0,0.23734626779038562
Canada,2041,91947.09573642675,54242.355588164784,32106.592687937566,3422.4840131686283,0.0,0.1065975466918498,42260.03498482482,10888.109762101232,0.0,0.25764554539557405
Canada,2042,93069.20222546584,55063.55450158983,32498.416004460185,3678.6690065100593,0.0,0.1131953325357515,42775.76915895713,11703.12316060713,0.0,0.27359234890944156
Canada,2043,94142.49156065384,55882.11448898744,32873.19307865913,3940.76372752148,0.0,0.11987772888663423,43269.06635872845,12536.93745439476,0.0,0.28974365544325514
Canada,2044,95006.35844118046,56698.517367150715,33174.84286811169,4208.7745584077265,0.0,0.12686645043474443,43666.11037954164,13389.572947473285,0.0,0.30663534789548236
Canada,2045,95709.76975152254,57512.952854570736,33420.4638989051,4482.692267684139,0.0,0.13413016292185573,43989.407013825665,14261.000271285291,0.0,0.32419169157709093
Canada,2046,94526.14701880694,58325.454566227236,33007.160002016186,4762.497694003863,0.0,0.1442868060661067,43445.39920484841,15151.158466934568,0.0,0.3487402289824911
Canada,2047,95165.1787084624,59133.93979795459,33230.300602707546,5047.991514675393,0.0,0.15190929432230568,43739.10616040756,16059.413419744515,0.0,0.3671637312579886
Canada,2048,95801.61268444147,59938.36915952402,33452.53411944743,5339.1254989791405,0.0,0.15960302080299715,44031.619174277024,16985.61169105281,0.0,0.38575941583760087
Canada,2049,96426.14043355985,60739.13491085779,33670.610154396236,5635.890883555555,0.0,0.16738309337764404,44318.65993739578,17929.725401570522,0.0,0.4045637983390726
Canada,2050,96993.77776032049,61536.32535534189,33868.82087871337,5938.255396790492,0.0,0.17533103434736635,44579.553150992884,18891.65188408996,0.0,0.42377391760978655
Central America,1970,27442.564718372458,6175.046931280208,9582.54570922885,0.0,0.0,0.0,12612.945909636715,0.0,0.0,0.0
Central America,1971,29000.407657771175,6396.044681551242,10126.521876463448,0.0,0.0,0.0,13328.950005171953,0.0,0.0,0.0
Central America,1972,28617.286477902122,6624.4477351893665,9992.74151533667,0.0,0.0,0.0,13152.862720032404,0.0,0.0,0.0
Central America,1973,23025.904295821616,6861.595625358464,8040.311926943159,0.0,0.0,0.0,10582.993549769571,0.0,0.0,0.0
Central America,1974,13909.325918173961,7102.592423715478,4856.934938964714,0.0,0.0,0.0,6392.900125985052,0.0,0.0,0.0
Central America,1975,29724.87875297705,7318.7016094364335,10379.496678784953,0.0,0.0,0.0,13661.925979928765,0.0,0.0,0.0
Central America,1976,38774.57180273787,7561.0926646391135,13539.518280037344,0.0,0.0,0.0,17821.278070625704,0.0,0.0,0.0
Central America,1977,49896.13514236628,7813.722370502951,17423.006946412755,0.0,0.0,0.0,22932.88765496674,0.0,0.0,0.0
Central America,1978,30632.958256095713,8092.394419041449,10696.584875006742,0.0,0.0,0.0,14079.290674957341,0.0,0.0,0.0
Central America,1979,11707.169644389707,8503.522752645753,4087.9738972777104,0.0,0.0,0.0,5380.761564926564,0.0,0.0,0.0
Central America,1980,13426.449554686198,8808.341862820935,4688.321514071164,0.0,0.0,0.0,6170.964111031037,0.0,0.0,0.0
Central America,1981,23852.122931302714,8762.288496930787,8328.81549508866,0.0,0.0,0.0,10962.733966374299,0.0,0.0,0.0
Central America,1982,22995.2508789762,9176.81550738407,8029.608198225391,0.0,0.0,0.0,10568.90485607113,0.0,0.0,0.0
Central America,1983,31599.158664881208,9454.116197208228,11033.968048790935,0.0,0.0,0.0,14523.368465023426,0.0,0.0,0.0
Central America,1984,31240.08935001328,9731.399670231862,10908.586250193961,0.0,0.0,0.0,14358.335717803286,0.0,0.0,0.0
Central America,1985,26637.49064257628,10016.693785181433,9301.425514749828,0.0,0.0,0.0,12242.92379707266,0.0,0.0,0.0
Central America,1986,30532.142008251616,10302.380499673014,10661.381302996862,0.0,0.0,0.0,14032.954266756442,0.0,0.0,0.0
Central America,1987,28813.625450668456,10589.479961495763,10061.300237903035,0.0,0.0,0.0,13243.102567104625,0.0,0.0,0.0
Central America,1988,46621.92841940627,10886.876258924303,16279.70143155964,0.0,0.0,0.0,21428.021301640245,0.0,0.0,0.0
Central America,1989,32401.991622205696,11186.63864736889,11314.305677193677,0.0,0.0,0.0,14892.360531513048,0.0,0.0,0.0
Central America,1990,18437.94003463264,11496.493485979277,6438.261327943637,0.0,0.0,0.0,8474.30780353605,0.0,0.0,0.0
Central America,1991,32105.506070498173,11803.597266812598,11210.777221288781,0.0,0.0,0.0,14756.092064441813,0.0,0.0,0.0
Central America,1992,31439.535994201586,12107.065119556406,10978.230126562674,0.0,0.0,0.0,14450.003889521999,0.0,0.0,0.0
Central America,1993,27020.31403364767,12414.55678754897,9435.101892346112,0.0,0.0,0.0,12418.874214757001,0.0,0.0,0.0
Central America,1994,35940.80787516088,12720.78640071098,12550.009003340961,0.0,0.0,0.0,16518.844733727008,0.0,0.0,0.0
Central America,1995,40175.41795673275,13033.101744947562,14028.673446109211,0.0,0.0,0.0,18465.124480368562,0.0,0.0,0.0
Central America,1996,49977.108960610945,13359.43134302468,17451.28182970239,0.0,0.0,0.0,22970.104234397197,0.0,0.0,0.0
Central America,1997,50500.43007621887,13702.83611409936,17634.017975626837,0.0,0.0,0.0,23210.629163181075,0.0,0.0,0.0
Central America,1998,52896.77501806588,14066.99658580545,18470.786884655037,0.0,0.0,0.0,24312.019264380786,0.0,0.0,0.0
