scenario,region,variables,unit,2025,2030,2035,2040,2045,2050
SSP2-Base-image,ME,Production|Sand|SAND_ZINC,kt,15.929977651859017,16.688876330154258,16.56200370324803,16.79077103874038,16.950780811822295,16.993101468549888
SSP2-Base-image,MEX,Production|Gravel|GRAVEL_ADR,kt,836.5563330532349,5660.5331844579305,11612.557396603814,18736.164234646825,27036.71859964244,36491.61766432172
SSP2-Base-image,MEX,Production|Gravel|GRAVEL_CRUSHED,kt,83507.49576129521,82353.91088550135,78409.88624685252,72271.88580832949,65742.16346777638,57642.91951639997
SSP2-Base-image,MEX,Production|Gravel|GRAVEL_ROUND,kt,83507.49576129521,82353.91088550135,78409.88624685252,72271.88580832949,65742.16346777638,57642.91951639997
SSP2-Base-image,MEX,Production|Sand|SAND_HAS,kt,262.9566323766683,1779.2881182416622,3650.20126635918,5889.380614473676,8498.512523991842,11470.492197417088
SSP2-Base-image,MEX,Production|Sand|SAND_QUARRY,kt,48111.14749315846,49140.13874999466,48966.35475723029,47946.59120881002,47114.73564968384,45788.43871085763
SSP2-Base-image,MEX,Production|Sand|SAND_RIVER,kt,19887.520729362503,20312.870903219253,20241.034479882557,19819.498728503102,19475.637782797952,18927.391498130826
SSP2-Base-image,MEX,Production|Sand|SAND_ZINC,kt,6.253081762191075,6.386821379656891,6.364234399874916,6.231694122233839,6.123576542492286,5.951195636370614
SSP2-Base-image,NAF,Production|Gravel|GRAVEL_ADR,kt,536.728984985502,3760.998213442885,8043.80541731073,13592.993890386935,20604.167588354307,29257.995898303147
SSP2-Base-image,NAF,Production|Gravel|GRAVEL_CRUSHED,kt,85384.85072902164,86130.14089468346,88383.22861819918,88322.51755541467,89280.78466070678,93810.47835239413
SSP2-Base-image,NAF,Production|Gravel|GRAVEL_ROUND,kt,85384.85072902164,86130.14089468346,88383.22861819918,88322.51755541467,89280.78466070678,93810.47835239413
SSP2-Base-image,NAF,Production|Sand|SAND_HAS,kt,168.7112281794819,1182.203021489376,2528.42743573448,4272.71632059394,6476.554307088569,9196.731609727212
SSP2-Base-image,NAF,Production|Sand|SAND_QUARRY,kt,49081.14841500524,50637.19105738865,53427.37455816109,55336.167783856334,58340.49767569661,63965.22791365687
SSP2-Base-image,NAF,Production|Sand|SAND_RIVER,kt,20288.486294431845,20931.701680441343,22085.069145190093,22874.099688464474,24115.988026511564,26441.061217094135
SSP2-Base-image,NAF,Production|Sand|SAND_ZINC,kt,6.37915431272775,6.581395630494343,6.944040183179927,7.192129050922816,7.582606547992354,8.313661613208486
SSP2-Base-image,OCE,Production|Gravel|GRAVEL_ADR,kt,230.95728468602888,1562.452840048389,3192.0478521102773,5124.468982686964,7364.046005352196,9907.104978537938
SSP2-Base-image,OCE,Production|Gravel|GRAVEL_CRUSHED,kt,26051.95295579848,24493.266456249767,23329.748923391926,22176.517602642718,21020.543801077514,19069.878899339492
SSP2-Base-image,OCE,Production|Gravel|GRAVEL_ROUND,kt,26051.95295579848,24493.266456249767,23329.748923391926,22176.517602642718,21020.543801077514,19069.878899339492
SSP2-Base-image,OCE,Production|Sand|SAND_HAS,kt,72.5973223850221,491.129312914233,1003.3635756633282,1610.7858528641434,2314.7571319755275,3114.122574687007
SSP2-Base-image,OCE,Production|Sand|SAND_QUARRY,kt,14998.787736307699,14572.596400831224,14477.09402174409,14493.544103650447,14616.002610244508,14389.696317968792
SSP2-Base-image,OCE,Production|Sand|SAND_RIVER,kt,6199.991427424277,6023.818347782633,5984.340895201214,5991.140802539922,6041.761006282152,5948.213641205099
SSP2-Base-image,OCE,Production|Sand|SAND_ZINC,kt,1.9494161111459218,1.8940233507165272,1.8816107557976354,1.883748798902299,1.8996649242517798,1.8702515383187257
SSP2-Base-image,RCAM,Production|Gravel|GRAVEL_ADR,kt,326.2655797333356,2236.6994660701357,4697.996616047335,7801.244774477735,11645.582999751616,16324.880379110247
SSP2-Base-image,RCAM,Production|Gravel|GRAVEL_CRUSHED,kt,41979.950791838026,44604.867616616735,44749.7267413985,45748.55213265616,45816.25883383042,44196.14422343311
SSP2-Base-image,RCAM,Production|Gravel|GRAVEL_ROUND,kt,41979.950791838026,44604.867616616735,44749.7267413985,45748.55213265616,45816.25883383042,44196.14422343311
SSP2-Base-image,RCAM,Production|Sand|SAND_HAS,kt,102.55579297806804,703.0667702793749,1476.7318353373546,2452.1828037039136,3660.582278423554,5131.436340664948
SSP2-Base-image,RCAM,Production|Sand|SAND_QUARRY,kt,24152.875644390184,26325.072060294766,27270.070544962407,28928.906161072468,30314.12431395272,31025.29802482726
SSP2-Base-image,RCAM,Production|Sand|SAND_RIVER,kt,9983.981677423726,10881.894188358794,11272.52459175369,11958.231115521077,12530.833436719355,12824.808589135046
SSP2-Base-image,RCAM,Production|Sand|SAND_ZINC,kt,3.139187362302721,3.421511158344403,3.5443341026654407,3.759935585441254,3.9399745747350194,4.032406944215538
SSP2-Base-image,RSAF,Production|Gravel|GRAVEL_ADR,kt,254.99850273562308,1790.4372165928653,3828.1063016474127,6480.857554670024,9912.375995006989,14358.166021763383
SSP2-Base-image,RSAF,Production|Gravel|GRAVEL_CRUSHED,kt,39580.57234030432,42689.31952104594,46113.82272954612,54188.67217380866,65060.900864124174,78630.08009528872
SSP2-Base-image,RSAF,Production|Gravel|GRAVEL_ROUND,kt,39580.57234030432,42689.31952104594,46113.82272954612,54188.67217380866,65060.900864124174,78630.08009528872
SSP2-Base-image,RSAF,Production|Sand|SAND_HAS,kt,80.15425248855904,562.7921544013404,1203.2972576839588,2037.1425212562128,3115.779425140633,4513.234596417481
SSP2-Base-image,RSAF,Production|Sand|SAND_QUARRY,kt,22753.980310657073,25071.88919913446,27746.508698174388,33299.441849884235,40726.97007037672,50054.06924867522
SSP2-Base-image,RSAF,Production|Sand|SAND_RIVER,kt,9405.725672372468,10363.87078988235,11469.468005951197,13764.862710039224,16835.151596289026,20690.65885226559
SSP2-Base-image,RSAF,Production|Sand|SAND_ZINC,kt,2.9573707282300328,3.2586330042757172,3.6062575212886503,4.327981005904367,5.293348569842137,6.505606368811896
SSP2-Base-image,RSAM,Production|Gravel|GRAVEL_ADR,kt,764.3194650525181,5484.658711975408,11908.422476494745,20256.48122025684,30714.04269205529,43419.38497007554
SSP2-Base-image,RSAM,Production|Gravel|GRAVEL_CRUSHED,kt,125937.01149565117,129759.56117679042,127791.37872418287,126773.87243775376,122527.39154867601,114990.45571434768
SSP2-Base-image,RSAM,Production|Gravel|GRAVEL_ROUND,kt,125937.01149565117,129759.56117679042,127791.37872418287,126773.87243775376,122527.39154867601,114990.45571434768
SSP2-Base-image,RSAM,Production|Sand|SAND_HAS,kt,240.25025530152445,1724.0051000183284,3743.201201894928,6367.26526955956,9654.41407095549,13648.112865186613
SSP2-Base-image,RSAM,Production|Sand|SAND_QUARRY,kt,72381.88128287527,76224.01375153838,77346.86150172958,79688.05494565822,80919.10553302748,81053.23908555073
SSP2-Base-image,RSAM,Production|Sand|SAND_RIVER,kt,29920.22097681495,31508.42855648991,31972.57582944824,32940.34599444378,33449.22065969015,33504.66693244198
SSP2-Base-image,RSAM,Production|Sand|SAND_ZINC,kt,9.40758733362968,9.906955353715585,10.052893647734374,10.357182254196594,10.517183841714496,10.534617391207371
SSP2-Base-image,RSAS,Production|Gravel|GRAVEL_ADR,kt,1136.8523833480087,7632.510401632184,15645.439075296814,25429.805742881104,37316.32754720058,51705.219244798136
SSP2-Base-image,RSAS,Production|Gravel|GRAVEL_CRUSHED,kt,127801.53279376571,134204.33873279725,140773.42191774523,152076.80932068164,161782.7364106713,170469.56176855374
SSP2-Base-image,RSAS,Production|Gravel|GRAVEL_ROUND,kt,127801.53279376571,134204.33873279725,140773.42191774523,152076.80932068164,161782.7364106713,170469.56176855374
SSP2-Base-image,RSAS,Production|Sand|SAND_HAS,kt,357.3493647983155,2399.14414904725,4917.86602855421,7993.407994097806,11729.725108484876,16252.617775645018
SSP2-Base-image,RSAS,Production|Sand|SAND_QUARRY,kt,73580.02203299929,79521.4543779139,86089.51215307991,95988.96381440268,105709.93862320973,115723.78881099609
SSP2-Base-image,RSAS,Production|Sand|SAND_RIVER,kt,30415.491828714163,32871.4789559885,35586.491836814916,39678.59024606352,43696.91236251798,47836.2992523994
SSP2-Base-image,RSAS,Production|Sand|SAND_ZINC,kt,9.563311577666965,10.335528915500383,11.189189749359068,12.475837103756763,13.73928753998496,15.040803451395407
SSP2-Base-image,RUS,Production|Gravel|GRAVEL_ADR,kt,903.8812526877194,5975.638706772154,12034.026308807235,19081.03502070248,27036.030361398756,35774.28464254436
