scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
SSP2-Base-image,KOR,Production|Sand|SAND_QUARRY,kt,59192.76943980773,51316.18713471094,40298.42984507725,29314.57081595856,19423.94015202538,10190.005317530446,1734.3511278939213
SSP2-Base-image,KOR,Production|Sand|SAND_RIVER,kt,24468.28834065852,21212.375687745433,16658.007565059652,12117.651836461484,8029.199729111294,4212.203461027797,716.9220815797098
SSP2-Base-image,KOR,Production|Sand|SAND_ZINC,kt,7.693377654113893,6.6696458221636865,5.237650520495746,3.8100610292405914,2.5245601537937277,1.3244110716074837,0.22541635301072782
SSP2-Base-image,ME,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,ME,Production|Gravel|GRAVEL_ADR,kt,54475.09006232532,65115.89046882894,77450.98517050751,91253.89912737826,106135.76493839998,121842.43303819755,138141.45451321118
SSP2-Base-image,ME,Production|Gravel|GRAVEL_CRUSHED,kt,366100.58425898536,359296.05494170304,368135.72115898127,351149.8179080469,345418.70119142043,339173.28519895824,331474.0711901159
SSP2-Base-image,ME,Production|Gravel|GRAVEL_ROUND,kt,366100.58425898536,359296.05494170304,368135.72115898127,351149.8179080469,345418.70119142043,339173.28519895824,331474.0711901159
SSP2-Base-image,ME,Production|Sand|SAND_HAS,kt,17123.27749516089,20468.024202742647,24345.342244149757,28684.04321104887,33361.89353926905,38299.0058247103,43422.31387793121
SSP2-Base-image,ME,Production|Sand|SAND_QUARRY,kt,259003.59663391253,254189.62571347752,260443.38613276908,248426.44263902295,244371.87428770636,239953.45685251767,234506.52722365453
SSP2-Base-image,ME,Production|Sand|SAND_RIVER,kt,107063.32451889363,105073.3918014436,107658.48478831975,102691.08689224091,101015.06550557804,99188.64121699112,96937.06478305139
SSP2-Base-image,ME,Production|Sand|SAND_ZINC,kt,33.66310617895197,33.03742678166528,33.85023789219939,32.288376782802445,31.76139813581049,31.187129449210275,30.479183409739367
SSP2-Base-image,MEX,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,MEX,Production|Gravel|GRAVEL_ADR,kt,36412.010537817216,41325.882852829796,46605.05655203695,52150.93958111166,57847.90707447205,63600.661848682685,69334.07356221126
SSP2-Base-image,MEX,Production|Gravel|GRAVEL_CRUSHED,kt,113287.47951959432,115628.42337357902,114991.16017322594,110313.94211371538,103173.18223954605,97644.64510995017,91247.13114643843
SSP2-Base-image,MEX,Production|Gravel|GRAVEL_ROUND,kt,113287.47951959432,115628.42337357902,114991.16017322594,110313.94211371538,103173.18223954605,97644.64510995017,91247.13114643843
SSP2-Base-image,MEX,Production|Sand|SAND_HAS,kt,11445.469110421373,12990.057639407412,14649.472173523016,16392.722050740314,18183.462647187473,19991.73898500938,21793.935175092465
SSP2-Base-image,MEX,Production|Sand|SAND_QUARRY,kt,80147.00306626316,81803.14048797013,81352.29864834847,78043.32742092932,72991.48492291072,69080.23467569314,64554.21314688551
SSP2-Base-image,MEX,Production|Sand|SAND_RIVER,kt,33130.0596208654,33814.650802348944,33628.28803824288,32260.47127836367,30172.210498154545,28555.431967143097,26684.52778659944
SSP2-Base-image,MEX,Production|Sand|SAND_ZINC,kt,10.416832465681463,10.632083259872779,10.573486634519545,10.14341442232107,9.486818480719094,8.978467113882136,8.39021295342804
SSP2-Base-image,NAF,DUMMY,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSP2-Base-image,NAF,Production|Gravel|GRAVEL_ADR,kt,22814.99506646717,26514.4118582838,30965.55195734642,36123.99887410454,41968.36863656966,48468.85137450965,55590.19220677598
SSP2-Base-image,NAF,Production|Gravel|GRAVEL_CRUSHED,kt,132380.78908522936,143172.85130856192,144533.04340025914,150307.41359560157,152692.8942159898,159390.76628381148,176386.32704722683
SSP2-Base-image,NAF,Production|Gravel|GRAVEL_ROUND,kt,132380.78908522936,143172.85130856192,144533.04340025914,150307.41359560157,152692.8942159898,159390.76628381148,176386.32704722683
SSP2-Base-image,NAF,Production|Sand|SAND_HAS,kt,7171.488677244567,8334.334672066405,9733.47154359586,11354.937756843936,13192.011639833787,15235.322989055965,17473.7900584817
